,tid,status,tag,date,title,clean_content
0,28850,求助中,导航,2017-12-31,个人给高德导航的建议,高德导航车机版在不断升级，各种功能层出不穷，但各种问题越来越多，最后可能过半的车都不能用了。为什么从1.0到2.0再到3.0却问题越多，导航功能却没增强多少？  这是中国人做软件的通病，老板好大喜功，程序员投其所好，一月一个新功能，成绩斐然，奖金大大的，至于程序稳定性和实用性，谁管这个？反正老板也不用。你看微软的office办公软件，3年一升级，大家都在用，金山的WPS软件，3个月一升级，几乎没人用，为什么？因为外国人扎实做内功，中国人浮在半空做表面文章。  高德似乎也陷入这个怪圈，花里乎哨的功能不断增加，占用导航设备的资源越来越多，导航越来越卡，导航基本功能却没增强多少，就差没插入广告了。这是用户需要的吗？用户需要的是导航，不是娱乐工具。  为什么部分用户还在用2.0以下的版本？因为大部分人需要的是导航功能，不需要用导航仪玩微信，那是人家手机的功能，谁的车也不能经常换导航仪玩，大部分车可能终生不会升级硬件。所以高德最好还是把内功做扎实，满足用户的主要需求，其他的功能可以做出插件，有玩心的用户自己加装。  大部分人提的需求是需要解决的，用户是车主，不是程序员，不能因为程序员不想就不解决。
1,28844,求助中,,2017-12-30,叮的一声依旧变无声,新版装上后跑了一天，遇到叮的一声音乐依旧变小不恢复，这问题咋老不解决，实在无语。原来用的别的导航就没有这问题。如果技术人员解决不了建议去消那叮的一声，多此一举。
2,28879,求助中,导航,2018-1-1,2.8.2.1363几点缺陷,升级到2.8.2.1363后发现几点缺陷：  1.不能后台（边导航边）下载离线地图数据包。  2.下载过程中，断网后不能自动续下载。即，正在下载离线地图过程中，突然断网后，即使网络再重新连接上，高德也不自动接着下载。这点希望向旧版2.8.1学习。  3.无论离线还是在线，放大路口图几乎没有了。  暂时把2.8.2.1363卸载了，装回2.8.1了，希望高德尽快解决2.8.2.1363的这些问题。
3,28866,求助中,导航,2017-12-31,282众测版导航比例尺问题,282众测版，导航设置里已经开启了自动缩放比例尺开关，在导航时却一直在50米比例尺级，不会自动缩放，只能靠手动调整。请处理一下此bug。
4,25725,已解决,适配,2017-6-4,大屏分屏软件Auto_V1.2.2.2254_C04010001120,大屏分屏软件Auto_V1.2.2.2254_C04010001120&nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp; 求这个版本有的话发我871058385@qq.com                                                            amap_139****8388p0g3W65d 获得最佳答案
5,28878,求助中,车友分享,2018-1-1,关于2.8.2使用分享,更新2.8.2之后，有惊喜，真的有区间测速了，这个真的很赞，接下来就期待导航过程中的速度显示了，别说看仪表盘，我的仪表是指针的，我想知道具体的速度。更新之后有点失望的就是比以前的要卡了，不知道为啥，希望后期可以优化把，毕竟车机不是手机，手机可以换，车机一般很少换的吧。希望高德加油
6,28869,求助中,导航,2018-1-1,12月29日V2.8.2.1363不能保存语音设置,之前12月27日的V2.8.2是好几项设置不能保存，现在12月29日V2.8.2.1363的导航语音成林志玲，重启后还是标准女声的声音，但是设置里还是显示的是林志玲。
7,28876,求助中,导航,2018-1-1,高德车机版和手机版导航结果不一致,为什么高德车机版和手机版导航结果不一致，手机版的高德比较准，都是更新的最新版本，数据不一样吗？
8,28877,求助中,,2018-1-1,V2.8.2.1363规划问题,今天从中山小榄导到广州花地湾有出现问题，从广州花地湾导航回中山小榄的时候，选择避开收费还是要导航上高速收费，而且选择了不走高速，但是离线规划好路线，一连网络就还是导航上高速，设置里面已经选择避开收费和不走高速的情况下，还是规划走高速收费，弄了几次还是一个鸟样，太失望了，今天换回2.8.1版本
9,28830,求助中,,2017-12-30,12月29日V2.8.2.1363问题,1.白天黑夜不会自动更换  2.定位位置不准确，微信发上来的位置导航规划的时候不正确，漂移了  3.软件整体反应变慢  4.下载全国地图包后到车机上更新地图，提示下载地图不全，需要再下载
