,comments,down,favs,hl,mall,neat_title,pid,tag,up,NPS
0,9,3,2,免购置税、万元置换礼包、首年车险补贴、1460元礼包,易车,VOLVO 沃尔沃 S60L 线上专享优惠,8388789,购车必看,2,-20.0
1,8,6,0,千元音乐礼包、易车1460元礼包,易车,CHERY 奇瑞 瑞虎7 线上专享补贴,8388780,购车必看,30,66.66666666666666
2,26,18,7,购车直减10000元、赢取iPhone X,车享,别克 君威 2017款 30H 精英型,8388655,NULL,23,12.195121951219512
3,8,10,6,赢5折购车机会,易车,五菱宝骏 1212 冰点购车节 ,8385500,购车必看,21,35.483870967741936
4,474,338,74,基准版44.8万起（补贴前）,NIO中国官网,NIO 蔚来 ES8 中大型纯电动SUV,8384763,新车上市,367,4.113475177304964
5,43,65,8,车价立减2000元，商业险补贴4500元,车享,MG ZS小型SUV,8380377,NULL,17,-58.536585365853654
6,36,51,9,2年0利率、首付低至1.6万、1460元礼包,易车,GEELY 吉利 帝豪GS 线上专享优惠,8380372,购车必看,16,-52.23880597014925
7,72,8,7,千元音乐礼包、1460元易车礼包,易车,CHERY 奇瑞 艾瑞泽5 线上专享购车补贴,8380327,购车必看,74,80.48780487804879
8,19,17,3,1460元购车礼包、300元现金优惠,易车,长安 CS55 线上专享优惠,8378360,购车必看,19,5.555555555555555
9,14,17,5,666元购车现金券,易车,Jeep 指南者 线上专享优惠,8377176,购车必看,8,-36.0
10,229,46,64,28.88-42.88万元,天猫精选,捷豹 XEL 加长中级豪华车,8377270,新车上市,181,59.471365638766514
11,95,6,71,抢3年体验权、4530元购置税优惠、1530元车款优惠,易车,宝骏 530 全新紧凑型SUV,8366105,新车预售,167,93.0635838150289
12,20,5,4,2000元现金优惠、1200元京东卡,易车,驭胜 S330 线上专享优惠,8371867,购车必看,15,50.0
13,12,24,6,1200元京东卡、4999元购车基金,易车,启辰 T70 紧凑型SUV,8368269,NULL,8,-50.0
14,90,19,32,车价立减35000元、赢取iPhone X,车享,BUICK 别克 威朗 自动车享版,8323263,NULL,77,60.416666666666664
15,63,11,29,购Levante低至零利息！,玛莎拉蒂中国官网,玛莎拉蒂金融政策全解读,8367825,按揭购车,182,88.60103626943005
16,39,14,7,2000元现金红包、1000元油卡,易车,广汽三菱 劲炫 线上专享优惠,8366052,购车必看,16,6.666666666666667
17,4,3,1,$4.33（约28.68元）,美国亚马逊,白菜！GILA防紫外线汽车隔热膜  $4.33（转运到手约￥66）,8367815,NULL,3,0.0
18,37,74,7,666元购车现金券,易车,Jeep 自由侠 线上专享优惠,8366003,购车必看,16,-64.44444444444444
19,29,13,19,50%购置税补贴、10000元保险补贴、1460元礼包,易车,VOLVO 沃尔沃 S90 线上专享优惠,8360322,购车必看,39,50.0
20,44,6,4,千元音乐礼包、1460元易车礼包,易车,CHERY 奇瑞 瑞虎5X 线上专享优惠,8360278,购车必看,39,73.33333333333333
21,36,6,15,4999元购车基金,易车,五菱 宏光S3 线上专享优惠,8360182,购车必看,186,93.75
22,31,5,5,千元音乐礼包、易车1460元礼包,易车,CHERY 奇瑞 瑞虎7 线上专享补贴,8351856,购车必看,92,89.69072164948454
23,79,25,15,31000元车款优惠、赢取iPhone X,车享,Jeep 自由光 中型SUV,8351522,NULL,40,23.076923076923077
24,9,8,2,免购置税、万元置换礼包、首年车险补贴、1460元礼包,易车,VOLVO 沃尔沃 S60L 线上专享优惠,8351665,购车必看,24,50.0
25,0,0,0,220元,天猫精选,NFA纽福克斯车载逆变器12V转220V 500W 转换器7964NB,8353220,NULL,0,
26,4,12,7,6460元礼包、1000元油卡、再赢iPhone8,易车,上汽大众 全新途安L 线上专享优惠,8351233,购车必看,7,-26.31578947368421
27,0,2,0,299元包邮,聚划算,BLACK VIEW 凌度 F8 行车记录仪,8346295,NULL,0,-100.0
28,17,10,16,车价立减5000元，商业险补贴4500元,车享,MG ZS小型SUV,8345016,NULL,25,42.857142857142854
29,9,3,3,500元车款优惠,易车,宝骏 510 线上专享优惠,8338379,购车必看,27,80.0
30,0,0,5,59元,苏宁易购,Mobil 美孚 金装1号 EP 增强版 5W-30 全合成润滑油 946ml,8344453,NULL,0,
31,2,8,1,置换礼，分期0利息、1460元礼包,易车,VOLVO 沃尔沃 V60 线上专享优惠,8338341,购车必看,5,-23.076923076923077
32,9,22,8,15760元礼包、再赢手机、行车记录仪,易车,上汽大众 途观L 线上专享补贴,8338255,购车必看,11,-33.33333333333333
